2023-02-10 22:53:10,250 - root - INFO - Namespace(KG_embedding_type='TransR', Ks='[5, 10]', aggregation_type='graphsage', cf_batch_size=1024, cf_l2loss_lambda=0.0001, cf_print_every=1, cuda=False, data_dir='data/', data_name='Douban', embed_dim=32, evaluate_every=10, gpu_id=0, kg_batch_size=2048, kg_l2loss_lambda=1e-05, kg_print_every=1, laplacian_type='symmetric', lr=0.001, mess_dropout=0.1, n_epoch=15, n_layers=3, pretrain_model_path='trained_model/GNN_based.pth', relation_dim=32, save_dir='trained_model/Douban/GNN_based/nlayer3_dim32_TransR_graphsage', seed=2022, stopping_steps=10, test_batch_size=2048, use_pretrain=0)
2023-02-10 22:53:10,250 - root - INFO - Running on cpu
2023-02-10 22:53:33,866 - root - INFO - n_users:           447
2023-02-10 22:53:33,874 - root - INFO - n_items:           578
2023-02-10 22:53:33,874 - root - INFO - n_entities:        18134
2023-02-10 22:53:33,874 - root - INFO - n_users_entities:  18581
2023-02-10 22:53:33,874 - root - INFO - n_relations:       450
2023-02-10 22:53:33,874 - root - INFO - n_cf_train:        41830
2023-02-10 22:53:33,874 - root - INFO - n_cf_test:         10840
2023-02-10 22:53:33,874 - root - INFO - n_kg_train:        351986
2023-02-10 22:53:34,949 - root - INFO - GNN_based(
  (entity_user_embed): Embedding(18581, 32)
  (relation_embed): Embedding(450, 32)
  (aggregator_layers): ModuleList(
    (0): Aggregator(
      (message_dropout): Dropout(p=0.1, inplace=False)
      (activation): LeakyReLU(negative_slope=0.01)
      (linear): Linear(in_features=64, out_features=32, bias=True)
    )
    (1): Aggregator(
      (message_dropout): Dropout(p=0.1, inplace=False)
      (activation): LeakyReLU(negative_slope=0.01)
      (linear): Linear(in_features=64, out_features=32, bias=True)
    )
    (2): Aggregator(
      (message_dropout): Dropout(p=0.1, inplace=False)
      (activation): LeakyReLU(negative_slope=0.01)
      (linear): Linear(in_features=64, out_features=32, bias=True)
    )
  )
)
2023-02-10 22:53:35,250 - root - INFO - CF Training: Epoch 0001 Iter 0001 / 0041 | Time 0.3s | Iter Loss 0.7182 | Iter Mean Loss 0.7182
2023-02-10 22:53:35,552 - root - INFO - CF Training: Epoch 0001 Iter 0002 / 0041 | Time 0.3s | Iter Loss 0.7047 | Iter Mean Loss 0.7115
2023-02-10 22:53:35,857 - root - INFO - CF Training: Epoch 0001 Iter 0003 / 0041 | Time 0.3s | Iter Loss 0.6925 | Iter Mean Loss 0.7052
2023-02-10 22:53:36,150 - root - INFO - CF Training: Epoch 0001 Iter 0004 / 0041 | Time 0.3s | Iter Loss 0.6745 | Iter Mean Loss 0.6975
2023-02-10 22:53:36,454 - root - INFO - CF Training: Epoch 0001 Iter 0005 / 0041 | Time 0.3s | Iter Loss 0.6757 | Iter Mean Loss 0.6931
2023-02-10 22:53:36,747 - root - INFO - CF Training: Epoch 0001 Iter 0006 / 0041 | Time 0.3s | Iter Loss 0.6704 | Iter Mean Loss 0.6893
2023-02-10 22:53:37,050 - root - INFO - CF Training: Epoch 0001 Iter 0007 / 0041 | Time 0.3s | Iter Loss 0.6579 | Iter Mean Loss 0.6848
2023-02-10 22:53:37,375 - root - INFO - CF Training: Epoch 0001 Iter 0008 / 0041 | Time 0.3s | Iter Loss 0.6585 | Iter Mean Loss 0.6815
2023-02-10 22:53:37,688 - root - INFO - CF Training: Epoch 0001 Iter 0009 / 0041 | Time 0.3s | Iter Loss 0.6527 | Iter Mean Loss 0.6783
2023-02-10 22:53:37,981 - root - INFO - CF Training: Epoch 0001 Iter 0010 / 0041 | Time 0.3s | Iter Loss 0.6532 | Iter Mean Loss 0.6758
2023-02-10 22:53:38,294 - root - INFO - CF Training: Epoch 0001 Iter 0011 / 0041 | Time 0.3s | Iter Loss 0.6446 | Iter Mean Loss 0.6730
2023-02-10 22:53:38,585 - root - INFO - CF Training: Epoch 0001 Iter 0012 / 0041 | Time 0.3s | Iter Loss 0.6452 | Iter Mean Loss 0.6707
2023-02-10 22:53:38,900 - root - INFO - CF Training: Epoch 0001 Iter 0013 / 0041 | Time 0.3s | Iter Loss 0.6384 | Iter Mean Loss 0.6682
2023-02-10 22:53:39,213 - root - INFO - CF Training: Epoch 0001 Iter 0014 / 0041 | Time 0.3s | Iter Loss 0.6339 | Iter Mean Loss 0.6657
2023-02-10 22:53:39,506 - root - INFO - CF Training: Epoch 0001 Iter 0015 / 0041 | Time 0.3s | Iter Loss 0.6347 | Iter Mean Loss 0.6637
2023-02-10 22:53:39,819 - root - INFO - CF Training: Epoch 0001 Iter 0016 / 0041 | Time 0.3s | Iter Loss 0.6443 | Iter Mean Loss 0.6625
2023-02-10 22:53:40,121 - root - INFO - CF Training: Epoch 0001 Iter 0017 / 0041 | Time 0.3s | Iter Loss 0.6313 | Iter Mean Loss 0.6606
2023-02-10 22:53:40,426 - root - INFO - CF Training: Epoch 0001 Iter 0018 / 0041 | Time 0.3s | Iter Loss 0.6394 | Iter Mean Loss 0.6595
2023-02-10 22:53:40,729 - root - INFO - CF Training: Epoch 0001 Iter 0019 / 0041 | Time 0.3s | Iter Loss 0.6091 | Iter Mean Loss 0.6568
2023-02-10 22:53:41,032 - root - INFO - CF Training: Epoch 0001 Iter 0020 / 0041 | Time 0.3s | Iter Loss 0.6320 | Iter Mean Loss 0.6556
2023-02-10 22:53:41,335 - root - INFO - CF Training: Epoch 0001 Iter 0021 / 0041 | Time 0.3s | Iter Loss 0.6130 | Iter Mean Loss 0.6535
