2023-02-10 20:46:58,027 - root - INFO - Namespace(KG_embedding_type='TransR', Ks='[5, 10]', aggregation_type='lightgcn', cf_batch_size=1024, cf_l2loss_lambda=0.0001, cf_print_every=1, cuda=False, data_dir='data/', data_name='Douban', embed_dim=32, evaluate_every=10, gpu_id=0, kg_batch_size=2048, kg_l2loss_lambda=1e-05, kg_print_every=1, laplacian_type='random-walk', lr=0.001, mess_dropout=0.1, n_epoch=10, n_layers=2, pretrain_model_path='trained_model/GNN_based.pth', relation_dim=32, save_dir='trained_model/Douban/GNN_based/nlayer2_dim32_TransR_lightgcn', seed=2022, stopping_steps=10, test_batch_size=2048, use_pretrain=0)
2023-02-10 20:46:58,027 - root - INFO - Running on cpu
2023-02-10 20:47:21,519 - root - INFO - n_users:           447
2023-02-10 20:47:21,522 - root - INFO - n_items:           578
2023-02-10 20:47:21,522 - root - INFO - n_entities:        18134
2023-02-10 20:47:21,522 - root - INFO - n_users_entities:  18581
2023-02-10 20:47:21,522 - root - INFO - n_relations:       450
2023-02-10 20:47:21,522 - root - INFO - n_cf_train:        41830
2023-02-10 20:47:21,528 - root - INFO - n_cf_test:         10840
2023-02-10 20:47:21,528 - root - INFO - n_kg_train:        351986
2023-02-10 20:47:22,548 - root - INFO - GNN_based(
  (entity_user_embed): Embedding(18581, 32)
  (relation_embed): Embedding(450, 32)
  (aggregator_layers): ModuleList(
    (0): Aggregator(
      (message_dropout): Dropout(p=0.1, inplace=False)
      (activation): LeakyReLU(negative_slope=0.01)
    )
    (1): Aggregator(
      (message_dropout): Dropout(p=0.1, inplace=False)
      (activation): LeakyReLU(negative_slope=0.01)
    )
  )
)
2023-02-10 20:47:22,680 - root - INFO - CF Training: Epoch 0001 Iter 0001 / 0041 | Time 0.1s | Iter Loss 0.6710 | Iter Mean Loss 0.6710
2023-02-10 20:47:22,811 - root - INFO - CF Training: Epoch 0001 Iter 0002 / 0041 | Time 0.1s | Iter Loss 0.6439 | Iter Mean Loss 0.6575
2023-02-10 20:47:22,943 - root - INFO - CF Training: Epoch 0001 Iter 0003 / 0041 | Time 0.1s | Iter Loss 0.6344 | Iter Mean Loss 0.6498
2023-02-10 20:47:23,072 - root - INFO - CF Training: Epoch 0001 Iter 0004 / 0041 | Time 0.1s | Iter Loss 0.6171 | Iter Mean Loss 0.6416
2023-02-10 20:47:23,195 - root - INFO - CF Training: Epoch 0001 Iter 0005 / 0041 | Time 0.1s | Iter Loss 0.6101 | Iter Mean Loss 0.6353
2023-02-10 20:47:23,315 - root - INFO - CF Training: Epoch 0001 Iter 0006 / 0041 | Time 0.1s | Iter Loss 0.5738 | Iter Mean Loss 0.6251
2023-02-10 20:47:23,446 - root - INFO - CF Training: Epoch 0001 Iter 0007 / 0041 | Time 0.1s | Iter Loss 0.5534 | Iter Mean Loss 0.6148
2023-02-10 20:47:23,560 - root - INFO - CF Training: Epoch 0001 Iter 0008 / 0041 | Time 0.1s | Iter Loss 0.5392 | Iter Mean Loss 0.6054
2023-02-10 20:47:23,671 - root - INFO - CF Training: Epoch 0001 Iter 0009 / 0041 | Time 0.1s | Iter Loss 0.5664 | Iter Mean Loss 0.6011
2023-02-10 20:47:23,802 - root - INFO - CF Training: Epoch 0001 Iter 0010 / 0041 | Time 0.1s | Iter Loss 0.5517 | Iter Mean Loss 0.5961
2023-02-10 20:47:23,923 - root - INFO - CF Training: Epoch 0001 Iter 0011 / 0041 | Time 0.1s | Iter Loss 0.5435 | Iter Mean Loss 0.5913
